Protein_id,Gene_id,Gene_name,Protein,Chromosome,Location
AAK90179.2,Atu3208,no name,putative malate dehydrogenase,AE007870.2,complement(222123-223169)
AAK90178.1,Atu3210,no name,putative ftsk cell division protein,AE007870.2,complement(223481-226213)
AAK90177.1,Atu3212,no name,"ABC transporter, substrate binding protein (oligopeptide)",AE007870.2,226501-228198
AAK90176.1,Atu3213,no name,"ABC transporter, membrane spanning protein (oligopeptide)",AE007870.2,228208-229197
AAK90175.1,Atu3214,no name,"ABC transporter, membrane spanning protein (oligopeptide)",AE007870.2,229194-230024
AAK90174.1,Atu3215,no name,"ABC transporter, nucleotide binding/ATPase protein (oligopeptide)",AE007870.2,230021-230824
AAK90173.1,Atu3216,no name,"ABC transporter, nucleotide binding/ATPase protein (oligopeptide)",AE007870.2,230821-231606
AAK90172.1,Atu3217,aspC,aspartate aminotransferase,AE007870.2,231610-232728
AAL44034.1,Atu3218,no name,hypothetical protein,AE007870.2,complement(232854-233129)
AAK90171.2,Atu8029,no name,hypothetical protein,AE007870.2,233299-233427
AAK90170.1,Atu3219,ilvD,dihydroxy-acid dehydratase,AE007870.2,complement(233509-235320)
AAK90168.1,Atu3221,no name,hypothetical protein,AE007870.2,235564-235752
AAK90167.1,Atu3222,no name,"ABC transporter, substrate binding protein (ribose)",AE007870.2,235845-236804
AAK90166.1,Atu3223,no name,"ABC transporter, nucleotide binding/ATPase protein (ribose)",AE007870.2,236874-238397
AAK90165.1,Atu3224,no name,"ABC transporter, membrane spanning protein (ribose)",AE007870.2,238394-239440
AAK90164.1,Atu3225,no name,"ABC transporter, membrane spanning protein (ribose)",AE007870.2,239437-240417
AAK90163.1,Atu3226,no name,"transcriptional regulator, GntR family",AE007870.2,240435-241169
AAK90162.2,Atu3227,no name,"transcriptional regulator, AraC family",AE007870.2,241387-242325
AAK90161.1,Atu3228,dnaE,"DNA polymerase III, alpha chain",AE007870.2,complement(242333-245608)
AAK90160.1,Atu3229,no name,conserved hypothetical protein,AE007870.2,complement(245605-247023)
AAK90159.1,Atu3230,no name,conserved hypothetical protein,AE007870.2,complement(247037-247801)
AAK90158.1,Atu8184,no name,conserved hypothetical protein,AE007870.2,247959-248372
AAK90157.1,Atu3232,no name,hydroxypyruvate reductase,AE007870.2,248369-249649
AAK90156.1,Atu8185,no name,hypothetical protein,AE007870.2,249754-250017
AAK90155.1,Atu3234,no name,NAD binding oxidoreductase,AE007870.2,complement(250129-251316)
AAK90154.2,Atu3235,no name,conserved hypothetical protein,AE007870.2,complement(251338-252390)
AAK90153.1,Atu3236,no name,"ABC transporter, nucleotide binding/ATPase protein (sugar)",AE007870.2,complement(252535-253608)
AAK90152.1,Atu3237,no name,"ABC transporter, membrane spanning protein (sugar)",AE007870.2,complement(253626-254474)
AAK90151.2,Atu3238,no name,"ABC transporter, membrane spanning protein (sugar)",AE007870.2,complement(254467-255399)
AAK90150.1,Atu3239,no name,"ABC transporter, substrate binding protein (sugar)",AE007870.2,complement(255471-256772)
AAK90149.2,Atu3240,no name,"transcriptional regulator, ROK family",AE007870.2,256967-258166
AAK90148.2,Atu3241,no name,dehydrogenase,AE007870.2,258219-259319
AAK90147.1,Atu3242,no name,conserved hypothetical protein,AE007870.2,259337-259978
AAK90146.2,Atu3243,gatA,glutamyl-tRNA amidotransferase subunit A,AE007870.2,complement(260020-261381)
AAK90145.1,Atu3244,no name,GGDEF family protein,AE007870.2,261692-264010
AAK90144.1,Atu3245,no name,"ABC transporter, substrate binding protein (amino acid)",AE007870.2,264041-264934
AAK90143.1,Atu3246,no name,"ABC transporter, substrate binding protein (amino acid)",AE007870.2,265006-265908
AAK90142.1,Atu3247,minE,cell division topological specificity factor,AE007870.2,complement(265951-266211)
AAK90141.1,Atu3248,minD,cell division inhibitor,AE007870.2,complement(266208-267023)
AAK90140.2,Atu3249,minC,bacterial septum site-determining protein,AE007870.2,complement(267059-267778)
AAL44066.1,Atu3250,no name,hypothetical protein,AE007870.2,complement(267841-268083)
AAK90139.1,Atu3251,no name,haloacid dehalogenase-like hydrolase,AE007870.2,268197-268883
AAK90138.1,Atu3252,exuR,"transcriptional regulator, GntR family",AE007870.2,269049-269765
AAK90137.1,Atu3253,no name,"ABC transporter, substrate binding protein",AE007870.2,269828-270802
AAK90136.1,Atu3254,no name,"ABC transporter, nucleotide binding/ATPase protein (dicarboxylate)",AE007870.2,270863-271435
AAK90135.2,Atu3255,no name,"ABC transporter, membrane spanning protein (dicarboxylate)",AE007870.2,271503-272846
AAK90134.1,Atu3256,no name,zinc-binding dehydrogenase,AE007870.2,272922-273968
AAK90133.1,Atu3257,uxuA,mannonate dehydratase,AE007870.2,273985-275193
AAK90132.1,Atu3258,no name,hypothetical protein,AE007870.2,complement(275221-275643)
AAK90131.2,Atu3259,no name,dehydrogenase,AE007870.2,275818-277329
AAK90130.2,Atu3260,no name,"ABC transporter, substrate binding protein",AE007870.2,complement(277383-278381)
AAK90129.2,Atu3261,no name,"ABC transporter, membrane spanning protein",AE007870.2,complement(278398-280218)
AAK90128.1,Atu3262,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007870.2,complement(280319-282154)
AAK90127.2,Atu3263,selA,L-seryl-tRNA(ser) selenium transferase,AE007870.2,complement(282210-283406)
AAK90126.1,Atu3264,no name,"transcriptional regulator, IclR family",AE007870.2,283481-284332
AAK90125.2,Atu3265,no name,conserved hypothetical protein,AE007870.2,complement(284339-284821)
AAK90124.2,Atu3266,no name,conserved hypothetical protein,AE007870.2,complement(284917-286140)
AAK90123.1,Atu3267,no name,"ABC transporter, membrane spanning protein (dipeptide)",AE007870.2,complement(286142-287017)
AAK90122.2,Atu3268,no name,"ABC transporter, membrane spanning protein (dipeptide)",AE007870.2,complement(287017-287925)
AAK90121.2,Atu3269,no name,"ABC transporter, substrate binding protein (dipeptide)",AE007870.2,complement(288288-289814)
AAK90120.1,Atu3270,no name,hypothetical protein,AE007870.2,complement(289874-290116)
AAK90119.2,Atu3271,no name,glycosyltransferase,AE007870.2,290253-291377
AAK90118.2,Atu3272,pssN,exopolysaccharide export protein,AE007870.2,291854-293050
AAK90117.2,Atu3273,no name,HlyD family secretion protein,AE007870.2,293317-294594
AAK90116.1,Atu3274,no name,AcrB/AcrD/AcrF family protein,AE007870.2,294591-297731
AAK90115.1,Atu3275,ialB,invasion associated protein B,AE007870.2,complement(297728-298306)
AAK90114.1,Atu3276,no name,conserved hypothetical protein,AE007870.2,complement(298306-302331)
AAK90113.2,Atu3277,no name,nitrilotriacetate monooxygenase,AE007870.2,complement(302505-303029)
AAK90112.1,Atu3278,no name,aryl-alcohol dehydrogenase,AE007870.2,complement(303029-303922)
AAK90111.1,Atu3279,no name,methanesulfonate sulfonatase,AE007870.2,complement(303922-305079)
AAK90110.1,Atu3280,no name,"transcriptional regulator, GntR family",AE007870.2,305181-305885
AAK90109.2,Atu3281,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007870.2,306220-307296
AAK90108.1,Atu3282,no name,"ABC transporter, substrate binding protein (sugar)",AE007870.2,307348-308598
AAK90107.2,Atu3283,malF,"ABC transporter, membrane spanning protein (sugar)",AE007870.2,308758-309684
AAK90106.2,Atu3284,malG,"ABC transporter, membrane spanning protein (sugar)",AE007870.2,309689-310546
AAK90105.1,Atu3285,no name,glycosidase,AE007870.2,310558-312552
AAK90104.1,Atu3286,no name,"ABC transporter, membrane spanning protein",AE007870.2,313002-313787
AAK90103.2,Atu3287,no name,thiamine biosynthesis associated protein,AE007870.2,313838-314734
AAK90102.1,Atu3288,no name,hydoxyethylthiazole kinase,AE007870.2,314731-315471
AAK90101.2,Atu3289,no name,thiamine-phosphate pyrophosphorylase,AE007870.2,315458-316120
AAK90100.1,Atu3290,thiD,phosphomethylpyrimidine kinase,AE007870.2,316117-316914
AAK90099.2,Atu3291,no name,"transcriptional regulator, Lrp family",AE007870.2,complement(317131-317589)
AAK90098.1,Atu3292,alr,alanine racemase,AE007870.2,317717-318883
AAK90097.1,Atu3293,dadA,"D-amino acid dehydrogenase, small subunit",AE007870.2,318891-320147
AAK90096.2,Atu3294,no name,"transcriptional regulator, GntR family",AE007870.2,complement(320197-320907)
AAK90095.2,Atu3295,no name,conserved hypothetical protein,AE007870.2,321087-321599
AAK90094.1,Atu3296,dctD,two component response regulator for C4-dicarboxylate transport,AE007870.2,complement(321688-323052)
AAK90093.2,Atu3297,dctB,two component sensor kinase for C4-dicarboxylate transport,AE007870.2,complement(323054-324436)
AAK90092.1,Atu3298,dctA,C4-dicarboxylate transport protein,AE007870.2,325132-326478
AAK90091.2,Atu3299,no name,conserved hypothetical protein,AE007870.2,326656-327093
AAK90090.1,Atu3300,no name,aminotransferase,AE007870.2,complement(327135-328487)
AAK90089.2,Atu3301,fixR,short-chain alcohol dehydrogenase,AE007870.2,complement(328525-329244)
AAK90088.2,Atu3302,celD,cellulose biosynthesis protein,AE007870.2,329494-331140
AAK90087.2,Atu3303,celE,cellulose synthesis protein,AE007870.2,331201-332355
AAK90086.2,Atu8186,celG,cellulose synthesis protein,AE007870.2,complement(332380-334626)
AAK90085.1,Atu3307,celC,endoglucanase,AE007870.2,complement(334719-335774)
AAK90084.2,Atu3308,celB,celB protein,AE007870.2,complement(335771-338254)
AAK90083.1,Atu3309,celA,cellulose synthase,AE007870.2,complement(338251-340440)
AAK90082.1,Atu8187,no name,conserved hypothetical protein,AE007870.2,complement(340535-341434)
AAK90081.1,Atu3311,no name,phosphomannose isomerase,AE007870.2,341868-343052
AAK90080.1,Atu3312,no name,conserved hypothetical protein,AE007870.2,complement(343105-344067)
AAK90079.2,Atu3313,no name,conserved hypothetical protein,AE007870.2,complement(344081-344584)
AAK90078.1,Atu3314,no name,cellulose synthase,AE007870.2,complement(344599-346536)
AAK90077.2,Atu3315,galE,UDP-glucose 4-epimerase,AE007870.2,complement(346533-347516)
AAK90076.1,Atu3316,no name,dTDP-glucose 4-6-dehydratase,AE007870.2,complement(347518-348540)
AAK90075.1,Atu3317,no name,hypothetical protein,AE007870.2,348935-349285
AAK90074.2,Atu3318,no name,"transcriptional regulator, LuxR family",AE007870.2,complement(349345-350115)
AAK90073.2,Atu3319,no name,hypothetical protein,AE007870.2,350386-350631
AAK90072.1,Atu3320,no name,fibrinogen binding protein,AE007870.2,351017-351982
AAK90071.2,Atu3321,no name,hypothetical protein,AE007870.2,352131-354152
AAK90070.2,Atu3322,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007870.2,354773-356428
AAK90069.2,Atu3323,no name,"secretion protein, HlyD family",AE007870.2,356437-357795
AAK90068.2,Atu3324,no name,hypothetical protein,AE007870.2,357879-358373
AAK90067.1,Atu3325,exoQ,exopolysaccharide production protein,AE007870.2,complement(358370-359638)
AAK90066.1,Atu3326,exoF,exopolysaccharide production protein,AE007870.2,complement(359646-360902)
AAK90065.2,Atu3327,exoY,succinoglycan exopolysaccharide synthesis protein,AE007870.2,complement(361096-361776)
AAK90064.1,Atu8030,no name,hypothetical protein,AE007870.2,complement(362198-362380)
AAK90063.1,Atu3328,no name,aldehyde dehydrogenase-like protein,AE007870.2,complement(362396-362944)
AAK90062.1,Atu3329,bioA,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,AE007870.2,363091-364425
AAK90061.2,Atu3330,mclA,methyl-accepting chemotaxis protein,AE007870.2,364570-366387
AAK90060.1,Atu3331,no name,conserved hypothetical protein,AE007870.2,complement(366526-367311)
AAK90059.2,Atu3332,no name,conserved hypothetical protein,AE007870.2,complement(367331-368317)
AAK90058.1,Atu3333,no name,dehydrogenase,AE007870.2,complement(368557-369342)
AAK90057.2,Atu3334,no name,hypothetical protein,AE007870.2,complement(369339-369572)
AAK90056.2,Atu3335,no name,DNA-3-methyladenine glycosylase,AE007870.2,369819-370400
AAK90055.1,Atu8031,no name,hypothetical protein,AE007870.2,complement(370442-370600)
AAK90054.1,Atu3336,no name,hypothetical protein,AE007870.2,complement(370824-371021)
AAK90053.1,Atu3337,thuR,"transcriptional regulator, LacI family",AE007870.2,complement(371196-372209)
AAK90052.2,Atu3338,thuE,"ABC transporter, substrate binding protein (trehalose/maltose)",AE007870.2,372478-373743
AAK90051.1,Atu3339,thuF,"ABC transporter, membrane spanning protein (trehalose/maltose)",AE007870.2,373807-374781
AAK90050.2,Atu3340,thuG,"ABC transporter, membrane spanning protein (trehalose/maltose)",AE007870.2,374778-375611
AAK90049.1,Atu3341,thuK,"ABC transporter, nucleotide binding/ATPase protein (trehalose/maltose)",AE007870.2,375622-376650
AAK90048.2,Atu3342,thuA,trehalose utilization-related protein,AE007870.2,376708-377493
AAK90047.1,Atu3343,ThuB,trehalose utilization-related protein,AE007870.2,377500-378549
AAK90046.1,Atu3344,exsD,radical activating protein,AE007870.2,complement(378583-379338)
AAK90045.1,Atu3345,exsC,6-pyruvoyl tetrahydropterin synthase,AE007870.2,complement(379335-379691)
AAK90044.1,Atu3346,exsB,succinoglycan biosynthesis regulator,AE007870.2,complement(379691-380401)
AAK90043.1,Atu3347,no name,conserved hypothetical protein,AE007870.2,complement(380545-381678)
AAK90042.2,Atu3348,no name,conserved hypothetical protein,AE007870.2,complement(381702-382466)
AAK90041.2,Atu3349,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007870.2,complement(382523-383611)
AAK90040.2,Atu3350,no name,"ABC transporter, membrane spanning protein",AE007870.2,complement(383617-384558)
AAK90039.1,Atu3351,no name,"ABC transporter, membrane spanning protein (sugar)",AE007870.2,complement(384551-385453)
AAK90038.1,Atu3352,no name,"ABC transporter, substrate binding protein (sugar)",AE007870.2,complement(385597-386829)
AAK90037.1,Atu3353,manC,mannose-1-phosphate guanylyltransferase (GDP),AE007870.2,complement(387134-388564)
AAK90036.2,Atu3354,no name,pyrroloquinoline-quinone-dependent quinate dehydrogenase,AE007870.2,complement(388845-391253)
AAK90035.2,Atu3355,no name,"transcriptional regulator, LysR family",AE007870.2,391676-392575
AAK90034.1,Atu3356,no name,NADP-dependent malic enzyme,AE007870.2,392736-395024
AAK90033.2,Atu3357,no name,"ABC transporter, substrate binding protein (amino acid)",AE007870.2,395279-396118
AAK90032.2,Atu3358,no name,"ABC transporter, membrane spanning protein (amino acid)",AE007870.2,396414-397046
AAK90031.1,Atu3359,no name,"ABC transporter, membrane spanning protein (amino acid)",AE007870.2,397043-397825
AAK90030.2,Atu3360,no name,"ABC transporter, nucleotide binding/ATPase protein (amino acid)",AE007870.2,397838-398653
AAK90029.1,Atu3361,no name,conserved hypothetical protein,AE007870.2,398658-400004
AAK90028.1,Atu3362,no name,monooxygenase,AE007870.2,400031-401341
AAK90027.1,Atu3363,no name,sensory methylation accepting chemotaxis protein,AE007870.2,complement(401420-403156)
AAK90026.1,Atu3364,no name,D-amino acid dehydrogenase,AE007870.2,403471-404724
AAK90025.2,Atu3365,no name,hypothetical protein,AE007870.2,complement(404740-405300)
AAK90024.2,Atu8094,no name,conserved hypothetical protein,AE007870.2,complement(405343-405588)
AAK90023.2,Atu3366,no name,"Tripartite ATP-independent periplasmic transporter, DctQ component",AE007870.2,405983-406522
AAK90022.1,Atu3367,no name,"TRAP dicarboxylate transporter, DctM subunit",AE007870.2,406555-408024
AAK90021.1,Atu3368,no name,periplasmic mannitol-binding protein,AE007870.2,complement(408413-409510)
AAK90020.1,Atu3369,no name,conserved hypothetical protein,AE007870.2,409815-410570
AAK90019.2,Atu3370,no name,"ABC transporter, membrane spanning protein (sugar)",AE007870.2,complement(410653-411681)
AAK90018.2,Atu3371,no name,"ABC transporter, nucleotide binding/ATPase protein (sugar)",AE007870.2,complement(411714-413255)
AAK90017.1,Atu3372,no name,"ABC transporter, substrate binding protein (sugar)",AE007870.2,complement(413489-414418)
AAK90015.2,Atu3374,no name,amidohydrolase,AE007870.2,complement(414936-416378)
AAK90014.1,Atu3375,no name,"ABC transporter, substrate binding protein (peptide)",AE007870.2,complement(416506-418083)
AAK90013.2,Atu3376,no name,beta-lactamase,AE007870.2,complement(418080-418928)
AAK90012.1,Atu3377,no name,"ABC transporter, nucleotide binding/ATPase protein (peptide)",AE007870.2,complement(418936-420570)
AAK90011.1,Atu3378,no name,"ABC transporter, membrane spanning protein (oligopeptide)",AE007870.2,complement(420567-421385)
AAK90010.1,Atu3379,dppB,"ABC transporter, membrane spanning protein (peptide)",AE007870.2,complement(421382-422326)
AAK90009.2,Atu3381,no name,"transcriptional regulator, LysR family",AE007870.2,complement(422507-423412)
AAK90008.2,Atu3382,prsE2,"secretion protein, HlyD family",AE007870.2,complement(423621-424934)
AAK90007.1,Atu3383,prsD,rhizobicin secretion,AE007870.2,complement(424921-426768)
AAK90006.1,Atu3384,no name,conserved hypothetical protein,AE007870.2,complement(426783-427538)
AAK90005.2,Atu3385,hasR,heme receptor,AE007870.2,complement(427642-430413)
AAK90004.1,Atu3386,no name,two component sensor kinase,AE007870.2,complement(430563-431558)
AAK90003.1,Atu3387,pfrI,sigma factor,AE007870.2,complement(431670-432170)
AAK90002.1,Atu3388,fecE,"ABC transporter, nucleotide binding/ATPase protein (iron)",AE007870.2,complement(432382-433134)
AAK90001.1,Atu3389,no name,"ABC transporter, membrane spanning protein (iron)",AE007870.2,complement(433128-434195)
AAK90000.1,Atu3390,no name,"ABC transporter, substrate binding protein (iron)",AE007870.2,complement(434192-435331)
AAK89999.1,Atu3391,no name,"ABC transporter, substrate binding protein (iron)",AE007870.2,complement(435428-436561)
AAK89998.1,Atu3392,no name,methyltransferase,AE007870.2,436675-437499
AAK89997.1,Atu3393,no name,pseudoazurin,AE007870.2,complement(437676-438116)
AAK89996.1,Atu3394,fecE,"ABC transporter, nucleotide binding/ATPase protein (iron)",AE007870.2,complement(438113-438913)
AAK89995.2,Atu3395,no name,"ABC transporter, membrane spanning protein (iron (III))",AE007870.2,complement(438910-439863)
AAK89994.1,Atu3396,no name,"ABC transporter, substrate binding protein (iron)",AE007870.2,complement(439935-440966)
AAK89993.2,Atu3397,no name,conserved hypothetical protein,AE007870.2,complement(441410-442285)
AAK89992.1,Atu3398,argE,acetylornithine deacetylase,AE007870.2,442488-443612
AAK89991.2,Atu3399,no name,2-hydroxyacid dehydrogenase,AE007870.2,443635-444558
AAK89990.1,Atu3400,no name,conserved hypothetical protein,AE007870.2,444587-444943
AAK89989.2,Atu3401,no name,aldehyde dehydrogenase,AE007870.2,445133-446596
AAK89988.2,Atu3402,no name,tartrate dehydrogenase,AE007870.2,446610-447653
AAK89987.2,Atu3403,attK2,succinate semialdehyde dehydrogenase,AE007870.2,447669-449126
AAK89986.1,Atu3404,ordL,oxidoreductase,AE007870.2,complement(449217-450491)
AAK89985.2,Atu3405,hadL,haloalkanoic acid dehalogenase,AE007870.2,complement(450507-451175)
AAK89984.2,Atu3406,no name,conserved hypothetical protein,AE007870.2,451499-452335
AAK89983.1,Atu3407,no name,"aminotransferase, class III",AE007870.2,452350-453723
AAK89982.1,Atu3408,hadL,2-haloalkanoic acid dehalogenase,AE007870.2,453848-454693
AAK89981.2,Atu3409,no name,"ABC transporter, substrate binding protein (oligopeptide)",AE007870.2,454787-456397
AAK89980.1,Atu3410,no name,"ABC transporter, membrane spanning protein",AE007870.2,456490-457440
AAK89979.1,Atu3411,no name,"ABC transporter, membrane spanning protein",AE007870.2,457440-458291
AAK89978.1,Atu3412,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007870.2,458291-459946
AAK89977.2,Atu3413,lrp,"transcriptional regulator, AsnC family",AE007870.2,complement(460133-460609)
AAK89976.1,Atu3414,no name,putative AgaE,AE007870.2,460840-462165
AAK89975.2,Atu3415,no name,"ABC transporter, substrate binding protein",AE007870.2,complement(462256-463191)
AAK89974.1,Atu3416,no name,"ABC transporter, substrate binding protein",AE007870.2,complement(463331-464269)
AAK89973.2,Atu3417,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007870.2,complement(464295-466106)
AAK89972.1,Atu3418,no name,acetyltransferase,AE007870.2,complement(466120-466665)
AAK89971.2,Atu3419,no name,hippurate hydrolase,AE007870.2,complement(466689-467876)
AAK89970.2,Atu3420,no name,monooxygenase,AE007870.2,complement(467960-469300)
AAK89969.2,Atu3421,no name,conserved hypothetical protein,AE007870.2,complement(469324-470325)
AAK89968.2,Atu3423,no name,conserved hypothetical protein,AE007870.2,470628-471077
AAK89967.2,Atu3424,no name,hypothetical protein,AE007870.2,complement(471105-472049)
AAK89966.1,Atu3425,no name,conserved hypothetical protein,AE007870.2,complement(472101-472646)
AAK89965.2,Atu3426,no name,putative sulfonate monooxygenase,AE007870.2,complement(472801-473970)
AAL44240.1,Atu3427,no name,hypothetical protein,AE007870.2,474100-474417
AAK89964.1,Atu3428,no name,conserved hypothetical protein,AE007870.2,complement(474470-475087)
AAK89963.1,Atu3429,no name,hypothetical protein,AE007870.2,475289-475477
AAK89962.1,Atu3430,no name,alkanesulfonate monooxygenase,AE007870.2,475474-476544
AAK89961.1,Atu3431,acd,acyl-CoA dehydrogenase,AE007870.2,complement(476602-477780)
AAK89960.2,Atu3432,no name,desulfurizing enzyme,AE007870.2,complement(477777-478808)
AAK89959.2,Atu3433,no name,"ABC transporter, substrate binding protein (oligopeptide)",AE007870.2,complement(478878-480485)
AAK89958.2,Atu3434,no name,"ABC transporter, membrane spanning protein (oligopeptide)",AE007870.2,480755-481744
AAK89957.2,Atu3435,no name,"ABC transporter, membrane spanning protein (oligopeptide)",AE007870.2,481741-482736
AAK89956.1,Atu3436,no name,"ABC transporter, nucleotide binding/ATPase protein (oligopeptide)",AE007870.2,482733-483731
AAK89955.1,Atu3437,no name,"ABC transporter, nucleotide binding/ATPase protein (oligopeptide)",AE007870.2,483709-484644
AAK89954.1,Atu3438,no name,putative oxidoreductase,AE007870.2,484663-485718
AAK89953.2,Atu3439,acd,acyl-CoA dehydrogenase,AE007870.2,485786-487024
AAK89952.1,Atu3440,no name,"transcriptional regulator, LysR family",AE007870.2,487044-488015
AAK89951.1,Atu3441,no name,nitrilotriacetate monooxygenase,AE007870.2,complement(488032-489384)
AAK89950.1,Atu3442,no name,"ABC transporter, substrate binding protein (oligopeptide)",AE007870.2,complement(489440-491035)
AAL44256.2,Atu3443,no name,hypothetical protein,AE007870.2,491078-491527
AAK89949.2,Atu3444,no name,"ABC transporter, substrate binding protein (oligopeptide)",AE007870.2,complement(491750-493381)
AAK89948.1,Atu3445,no name,hippurate hydrolase,AE007870.2,complement(493374-494573)
AAK89947.1,Atu3446,no name,monooxygenase,AE007870.2,complement(494667-495836)
AAK89946.1,Atu3447,no name,conserved hypothetical protein,AE007870.2,complement(495827-496720)
AAK89945.1,Atu3448,no name,putative dibenzothiophene desulfurization enzyme B,AE007870.2,complement(496728-497780)
AAK89944.1,Atu3450,no name,nitrilotriacetate monooxygenase,AE007870.2,498128-499435
AAK89943.1,Atu3451,no name,monooxygenase,AE007870.2,complement(499522-500550)
AAK89942.2,Atu3453,no name,isomerase/lactonizing enzyme,AE007870.2,500975-502123
AAK89941.1,Atu3454,no name,arylesterase,AE007870.2,502130-502759
AAK89940.2,Atu3455,no name,"ABC transporter, substrate binding protein (oligopeptide)",AE007870.2,502841-504439
AAK89939.2,Atu3456,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007870.2,complement(504657-505415)
AAK89938.1,Atu3457,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007870.2,complement(505415-506251)
AAK89937.1,Atu3458,no name,"ABC transporter, membrane spanning protein",AE007870.2,complement(506256-507143)
AAK89936.2,Atu3459,no name,"ABC transporter, membrane spanning protein",AE007870.2,complement(507143-508165)
AAK89935.2,Atu3460,no name,RhtB family transporter,AE007870.2,508469-509101
AAK89934.1,Atu3461,no name,"transcriptional regulator, GntR family",AE007870.2,complement(509129-509857)
AAK89933.1,Atu3462,no name,"transcriptional regulator, AraC family",AE007870.2,complement(509952-510935)
AAK89932.1,Atu3463,cpoF,non-heme chloroperoxidase,AE007870.2,511064-511891
AAK89931.1,Atu3464,no name,dehydrogenase,AE007870.2,511918-512709
AAK89930.2,Atu8032,no name,conserved hypothetical protein,AE007870.2,512723-513208
AAK89929.1,Atu3465,no name,metallo-beta-lactamase superfamily protein,AE007870.2,513471-514766
AAK89928.1,Atu3466,no name,"transcriptional regulator, ArsR family",AE007870.2,514760-515113
AAK89927.2,Atu3467,no name,conserved hypothetical protein,AE007870.2,515143-515517
AAK89926.2,Atu3468,no name,conserved hypothetical protein,AE007870.2,515514-515951
AAK89925.1,Atu3469,pgm,"2,3-Bisphosphoglycerate-Independent phosphoglycerate mutase",AE007870.2,complement(516026-517543)
AAK89924.2,Atu3470,no name,hypothetical protein,AE007870.2,complement(517516-517710)
AAK89923.2,Atu3471,bkdB,lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex E2,AE007870.2,complement(517905-519182)
AAK89922.1,Atu3472,bkdA2,2-oxoisovalerate dehydrogenase beta subunit,AE007870.2,complement(519185-520198)
AAK89921.2,Atu3473,bkdA1,2-oxoisovalerate dehydrogenase alpha subunit,AE007870.2,complement(520202-521440)
AAK89920.2,Atu3474,mmgC,acyl-CoA dehydrogenase,AE007870.2,complement(521485-522612)
AAK89919.2,Atu3475,no name,acetyl-CoA C-acetyltransferase,AE007870.2,complement(522624-523862)
AAK89918.1,Atu3476,no name,"transcriptional regulator, AsnC family",AE007870.2,523971-524444
AAK89917.2,Atu3477,acd,acyl-CoA dehydrogenase,AE007870.2,524524-525696
AAK89916.2,Atu3478,mccB,3-methylcrotonoyl-CoA carboxylase beta subunit,AE007870.2,525705-527306
AAK89915.2,Atu3479,mccA,3-methylcrotonyl-CoA carboxylase alpha subunit,AE007870.2,527314-529305
AAK89914.2,Atu3480,hmgL,hydroxymethylglutaryl-CoA lyase,AE007870.2,529307-530233
AAK89913.2,Atu3481,no name,Enoyl-CoA hydratase/isomerase family protein,AE007870.2,530223-530999
AAK89912.2,Atu3482,panC,pantoate--beta-alanine ligase,AE007870.2,531140-532018
AAK89911.1,Atu3483,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,AE007870.2,532015-532854
AAK89910.2,Atu3484,no name,conserved hypothetical protein,AE007870.2,complement(532889-534181)
AAK89909.2,Atu3485,no name,oxidoreductase,AE007870.2,complement(534232-536328)
AAK89908.1,Atu3486,no name,"transcriptional regulator, DeoR family",AE007870.2,536529-537359
AAK89907.2,Atu3487,no name,"ABC transporter, substrate binding protein (sugar)",AE007870.2,537407-538417
AAK89906.2,Atu3488,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007870.2,538644-540176
AAK89905.1,Atu3489,no name,"ABC transporter, membrane spanning protein",AE007870.2,540191-541192
AAK89904.2,Atu3490,no name,"ABC transporter, membrane spanning protein",AE007870.2,541189-542199
AAK89903.1,Atu3491,no name,conserved hypothetical protein,AE007870.2,542203-542526
AAK89902.1,Atu3492,no name,sugar kinase,AE007870.2,542523-543905
AAK89901.1,Atu3493,no name,non-heme haloperoxidase,AE007870.2,complement(543958-544794)
AAK89900.1,Atu3494,no name,conserved hypothetical protein,AE007870.2,complement(545112-545807)
AAK89899.1,Atu3495,no name,GGDEF family protein,AE007870.2,complement(545969-547903)
AAK89898.1,Atu3496,no name,conserved hypothetical protein,AE007870.2,complement(547913-548419)
AAL44310.2,Atu3497,no name,hypothetical protein,AE007870.2,complement(548600-548947)
AAK89897.2,Atu3498,no name,aldehyde dehydrogenase,AE007870.2,549017-550453
AAK89895.1,Atu3500,no name,conserved hypothetical protein,AE007870.2,550981-551793
AAK89894.1,Atu3501,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007870.2,complement(551809-552834)
AAK89893.1,Atu3502,no name,"ABC transporter, membrane spanning protein",AE007870.2,complement(552840-553727)
AAK89892.2,Atu3503,no name,"ABC transporter, membrane spanning protein",AE007870.2,complement(553731-554564)
